size: 1000
6814;11396
;  1
3589;5985
;  2
2396;3991
;  3
1759;2906
;  4
2124;3414
;  5
1759;2860
;  6
1845;2747
;  7
1733;2706
;  8
1753;2866
;  9
1771;2868
;  10
1776;2812
;  11
1740;2813
;  12
1765;2871
;  13
1796;2849
;  14
1768;2887
;  15
size: 2000
27297;141935
;  1
14560;72156
;  2
9705;47708
;  3
7169;36183
;  4
8425;39040
;  5
7316;33780
;  6
7171;32956
;  7
6880;30281
;  8
6884;32369
;  9
7074;32578
;  10
6948;31983
;  11
6979;32417
;  12
6968;32546
;  13
7005;32457
;  14
6910;32453
;  15
